[exit code: 0]
[GREEN] good  exit=0
[GREEN] missing_observed  exit=1
[GREEN] tail_leak  exit=1
[GREEN] mid_leak  exit=1
[GREEN] none_standalone  exit=0
[GREEN] prose_none_word  exit=1
[GREEN] prose_no_blocks  exit=1
[GREEN] bad_block_plus_none  exit=1
[GREEN] empty_file  exit=1
[GREEN] gbk_good  exit=0
[GREEN] utf16_good  exit=0
[GREEN] undecodable  exit=2
[GREEN] bold_labels  exit=0
[GREEN] ascii_labels  exit=0
[GREEN] value_next_line  exit=0
[GREEN] value_next_line_traceback  exit=0
[GREEN] junk_values  exit=1
[GREEN] warn_only_default  exit=0
[GREEN] warn_only_strict  exit=1
[GREEN] cannot_run_short_reason  exit=0
[GREEN] cannot_run_no_reason  exit=1
[GREEN] evidence_ok  exit=0
[GREEN] evidence_missing  exit=1
[GREEN] evidence_no_marker  exit=1
[GREEN] evidence_empty_body  exit=1
[GREEN] replay_reproduced  exit=0
[GREEN] replay_differs  exit=1
[GREEN] replay_exit_mismatch  exit=1
[GREEN] replay_normalized  exit=0
[GREEN] replay_refused  exit=1
[GREEN] replay_timeout  exit=1
[GREEN] replay_requires_evidence_file  exit=1
[GREEN] replay_none_declared  exit=0
[GREEN] unknown_option  exit=2
[GREEN] missing_file  exit=2
[GREEN] no_args  exit=2

共 36 条断言，变红 0 条。
结论：全绿 —— 门禁行为与断言一致。

